,Single Year of Age,Administrative Counties,VALUE
623,18 years,Wicklow County Council,2012
624,18 years,Clare County Council,1690
625,18 years,Cork City Council,2648
626,18 years,Cork County Council,4786
627,18 years,Kerry County Council,1928
628,18 years,Limerick City & County Council,2701
629,18 years,Tipperary County Council,2135
630,18 years,Waterford City & County Council,1699
631,18 years,Galway City Council,1033
632,18 years,Galway County Council,2546
633,18 years,Leitrim County Council,449
634,18 years,Mayo  County Council,1749
635,18 years,Roscommon County Council,899
636,18 years,Sligo County Council,897
637,18 years,Cavan County Council,1107
638,18 years,Donegal County Council,2285
639,18 years,Monaghan County Council,799
640,19 years,Ireland,64596
641,19 years,Carlow County Council,827
642,19 years,Dublin City Council,7345
643,19 years,Dún Laoghaire Rathdown County Council,3236
644,19 years,Fingal County Council,4358
645,19 years,South Dublin County Council,3952
646,19 years,Kildare County Council,3490
647,19 years,Kilkenny County Council,1125
648,19 years,Laois County Council,1130
649,19 years,Longford County Council,563
650,19 years,Louth County Council,1770
651,19 years,Meath County Council,2892
652,19 years,Offaly County Council,1018
653,19 years,Westmeath County Council,1117
654,19 years,Wexford County Council,1813
655,19 years,Wicklow County Council,1865
656,19 years,Clare County Council,1650
657,19 years,Cork City Council,3405
658,19 years,Cork County Council,4230
659,19 years,Kerry County Council,1678
660,19 years,Limerick City & County Council,2889
661,19 years,Tipperary County Council,1776
662,19 years,Waterford City & County Council,1593
663,19 years,Galway City Council,1764
664,19 years,Galway County Council,2251
665,19 years,Leitrim County Council,329
666,19 years,Mayo  County Council,1418
667,19 years,Roscommon County Council,728
668,19 years,Sligo County Council,922
669,19 years,Cavan County Council,915
670,19 years,Donegal County Council,1813
671,19 years,Monaghan County Council,734
672,20 years,Ireland,63744
673,20 years,Carlow County Council,810
674,20 years,Dublin City Council,8103
675,20 years,Dún Laoghaire Rathdown County Council,3277
676,20 years,Fingal County Council,4153
677,20 years,South Dublin County Council,3700
678,20 years,Kildare County Council,3333
679,20 years,Kilkenny County Council,1089
680,20 years,Laois County Council,1047
681,20 years,Longford County Council,561
682,20 years,Louth County Council,1917
683,20 years,Meath County Council,2730
684,20 years,Offaly County Council,991
685,20 years,Westmeath County Council,1105
686,20 years,Wexford County Council,1764
687,20 years,Wicklow County Council,1716
688,20 years,Clare County Council,1567
689,20 years,Cork City Council,3541
690,20 years,Cork County Council,3787
691,20 years,Kerry County Council,1630
692,20 years,Limerick City & County Council,2932
693,20 years,Tipperary County Council,1823
694,20 years,Waterford City & County Council,1564
695,20 years,Galway City Council,2024
696,20 years,Galway County Council,2052
697,20 years,Leitrim County Council,344
698,20 years,Mayo  County Council,1310
699,20 years,Roscommon County Council,696
700,20 years,Sligo County Council,877
701,20 years,Cavan County Council,843
702,20 years,Donegal County Council,1805
703,20 years,Monaghan County Council,653
704,21 years,Ireland,60661
705,21 years,Carlow County Council,813
706,21 years,Dublin City Council,8140
707,21 years,Dún Laoghaire Rathdown County Council,3085
708,21 years,Fingal County Council,3792
709,21 years,South Dublin County Council,3683
710,21 years,Kildare County Council,3050
711,21 years,Kilkenny County Council,1045
712,21 years,Laois County Council,1025
713,21 years,Longford County Council,507
714,21 years,Louth County Council,1711
715,21 years,Meath County Council,2546
716,21 years,Offaly County Council,882
717,21 years,Westmeath County Council,1097
718,21 years,Wexford County Council,1582
719,21 years,Wicklow County Council,1623
720,21 years,Clare County Council,1352
721,21 years,Cork City Council,3518
722,21 years,Cork County Council,3571
723,21 years,Kerry County Council,1518
724,21 years,Limerick City & County Council,2657
725,21 years,Tipperary County Council,1755
726,21 years,Waterford City & County Council,1481
727,21 years,Galway City Council,2084
728,21 years,Galway County Council,1850
729,21 years,Leitrim County Council,277
730,21 years,Mayo  County Council,1263
731,21 years,Roscommon County Council,688
732,21 years,Sligo County Council,858
733,21 years,Cavan County Council,832
734,21 years,Donegal County Council,1708
735,21 years,Monaghan County Council,668
736,22 years,Ireland,62218
737,22 years,Carlow County Council,769
738,22 years,Dublin City Council,9091
739,22 years,Dún Laoghaire Rathdown County Council,3242
740,22 years,Fingal County Council,3827
741,22 years,South Dublin County Council,3724
742,22 years,Kildare County Council,2890
743,22 years,Kilkenny County Council,993
744,22 years,Laois County Council,994
745,22 years,Longford County Council,516
746,22 years,Louth County Council,1718
747,22 years,Meath County Council,2430
748,22 years,Offaly County Council,915
749,22 years,Westmeath County Council,1103
750,22 years,Wexford County Council,1766
751,22 years,Wicklow County Council,1659
752,22 years,Clare County Council,1503
753,22 years,Cork City Council,3677
754,22 years,Cork County Council,3552
755,22 years,Kerry County Council,1556
756,22 years,Limerick City & County Council,2951
757,22 years,Tipperary County Council,1782
758,22 years,Waterford City & County Council,1471
759,22 years,Galway City Council,1964
760,22 years,Galway County Council,1776
761,22 years,Leitrim County Council,322
762,22 years,Mayo  County Council,1294
763,22 years,Roscommon County Council,665
764,22 years,Sligo County Council,815
765,22 years,Cavan County Council,855
766,22 years,Donegal County Council,1731
767,22 years,Monaghan County Council,667
768,23 years,Ireland,60922
769,23 years,Carlow County Council,720
770,23 years,Dublin City Council,9981
771,23 years,Dún Laoghaire Rathdown County Council,3247
772,23 years,Fingal County Council,3733
773,23 years,South Dublin County Council,3783
774,23 years,Kildare County Council,2860
775,23 years,Kilkenny County Council,994
776,23 years,Laois County Council,961
777,23 years,Longford County Council,498
778,23 years,Louth County Council,1579
779,23 years,Meath County Council,2320
780,23 years,Offaly County Council,894
781,23 years,Westmeath County Council,1052
782,23 years,Wexford County Council,1722
783,23 years,Wicklow County Council,1535
784,23 years,Clare County Council,1281
785,23 years,Cork City Council,3500
786,23 years,Cork County Council,3388
787,23 years,Kerry County Council,1597
788,23 years,Limerick City & County Council,2597
789,23 years,Tipperary County Council,1696
790,23 years,Waterford City & County Council,1462
791,23 years,Galway City Council,1722
792,23 years,Galway County Council,1726
793,23 years,Leitrim County Council,329
794,23 years,Mayo  County Council,1242
795,23 years,Roscommon County Council,643
796,23 years,Sligo County Council,752
797,23 years,Cavan County Council,875
798,23 years,Donegal County Council,1571
799,23 years,Monaghan County Council,662
800,24 years,Ireland,59598
801,24 years,Carlow County Council,669
802,24 years,Dublin City Council,10592
803,24 years,Dún Laoghaire Rathdown County Council,3169
804,24 years,Fingal County Council,3592
805,24 years,South Dublin County Council,3650
806,24 years,Kildare County Council,2675
807,24 years,Kilkenny County Council,1036
808,24 years,Laois County Council,905
809,24 years,Longford County Council,446
810,24 years,Louth County Council,1469
811,24 years,Meath County Council,2253
812,24 years,Offaly County Council,887
813,24 years,Westmeath County Council,1077
814,24 years,Wexford County Council,1595
815,24 years,Wicklow County Council,1408
816,24 years,Clare County Council,1255
817,24 years,Cork City Council,3417
818,24 years,Cork County Council,3263
819,24 years,Kerry County Council,1482
820,24 years,Limerick City & County Council,2545
821,24 years,Tipperary County Council,1709
822,24 years,Waterford City & County Council,1349
823,24 years,Galway City Council,1727
824,24 years,Galway County Council,1651
825,24 years,Leitrim County Council,272
826,24 years,Mayo  County Council,1159
827,24 years,Roscommon County Council,561
828,24 years,Sligo County Council,737
829,24 years,Cavan County Council,827
830,24 years,Donegal County Council,1557
831,24 years,Monaghan County Council,664
832,25 years,Ireland,59263
833,25 years,Carlow County Council,625
834,25 years,Dublin City Council,11301
835,25 years,Dún Laoghaire Rathdown County Council,3110
836,25 years,Fingal County Council,3627
837,25 years,South Dublin County Council,3634
838,25 years,Kildare County Council,2651
839,25 years,Kilkenny County Council,1002
840,25 years,Laois County Council,851
841,25 years,Longford County Council,441
842,25 years,Louth County Council,1415
